You,Average
5263,5090
5828,5670
5967,5700
5890,5650
5779,5590
5472,4990
5809,5410
5821,5300
5783,5280
5751,5280
5805,5310
5326,5010
5203,5080
5999,5820
5997,5470
5885,5330
5870,5580
5627,5170
5139,4720
5056,4680
5539,5110
5761,5390
5764,5410
5733,5380
5626,5250
5167,4800
4944,4680
5617,5270
5602,5390
5574,5190
