You,Average
5359,4840
5817,5100
5863,5200
5775,5060
5408,4690
5388,4820
6191,5460
6164,5410
5754,5270
5708,5210
5801,5210
5358,4800
5111,4720
5656,5180
5876,5310
6051,5540
5831,5360
5704,5200
5292,4780
5179,4760
6081,5630
6355,6070
6335,5820
6480,6210
6418,6080
5548,5310
4769,4910
5372,5140
5500,5080
5552,4930
