You,Average
518,515.8
513,552.5
507,509.2
515,493.3
511,475.8
497,489.2
478,507.5
532,529.2
540,520.8
557,487.5
555,505.8
516,480
491,488.3
498,540.8
563,563.3
531,555
505,525.8
499,514.2
479,459.2
450,472.5
443,515.8
432,531.7
488,490.8
495,496.7
499,509.2
480,500.8
451,496.7
458,515
501,517.5
508,520.8
