You,Average
219,231
212,220
206,209
203,209
203,209
208,220
215,231
215,220
209,209
203,209
197,187
191,187
187,187
188,187
194,198
206,220
230,253
263,308
269,308
267,308
263,297
254,286
238,264
223,242
